"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:2DcykF5eaHu1z2TiuRmns0","Nabbed in Nebraska","spotify:artist:0maNhqGx60ucjS4UaAH6cP","Anvil","spotify:album:1Q7cGukENcz0K2QPr9AIAE","Nabbed in Nebraska","spotify:artist:0maNhqGx60ucjS4UaAH6cP","Anvil","2019-12-05","https://i.scdn.co/image/ab67616d0000b2736d725cadfe38ce4143fdf897","1","1","273480","https://p.scdn.co/mp3-preview/d4d316392a1ee822e0f1e91149d5a5ad7266cac8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:","2021-04-15T23:00:00Z"
"spotify:track:5gNyrx8elXaXXs3vFC1ufZ","Raise Your Horns","spotify:artist:3pulcT2wt7FEG10lQlqDJL","Amon Amarth","spotify:album:79GLbXCHnsOG9TBzvtS3sy","Jomsviking","spotify:artist:3pulcT2wt7FEG10lQlqDJL","Amon Amarth","2016-03-25","https://i.scdn.co/image/ab67616d0000b273a6c97e91aad5eecb10919b15","1","5","263786","https://p.scdn.co/mp3-preview/937ccb0c24b39b4d66b5030270404dd1a34ba020?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:","2021-04-15T23:00:00Z"
"spotify:track:3ArY0OnRj46Qb7UIpjrKKy","Eternal","spotify:artist:7Iffw1nP3NjCWkRIx3Ily9","Bruce Dickinson","spotify:album:3SryVsff2UEt9JfalPnhXJ","Eternal","spotify:artist:7Iffw1nP3NjCWkRIx3Ily9","Bruce Dickinson","2018-06-15","https://i.scdn.co/image/ab67616d0000b273731a35636b0e872b4e4b7070","1","1","359238","https://p.scdn.co/mp3-preview/7a52db4a0e0dc7e9034239b7699577adf6cb131a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:","2021-04-15T23:00:00Z"
"spotify:track:7v6DwMJy1kPV874CfuN1mY","Astorolus - the Great Octopus","spotify:artist:7zDtfSB0AOZWhpuAHZIOw5","Candlemass","spotify:album:4XrIy3GrY9wdXMgiBEmj37","Astorolus - the Great Octopus","spotify:artist:7zDtfSB0AOZWhpuAHZIOw5","Candlemass","2019-01-11","https://i.scdn.co/image/ab67616d0000b2736e66b96a135c2e4d12333d18","1","1","402520","","false","0","spotify:user:","2021-04-15T23:00:00Z"
"spotify:track:0LtZ0J7wBewtpjA6w98MlC","End of the Attention Span","spotify:artist:4ug41UGuMZzlV2hJOrOqHN","Armored Saint","spotify:album:5UBB2I0DXxlxGWEgNkx2tH","End of the Attention Span","spotify:artist:4ug41UGuMZzlV2hJOrOqHN","Armored Saint","2020-08-12","https://i.scdn.co/image/ab67616d0000b2734d2841a2d0e76b518f93b3dd","1","1","313354","https://p.scdn.co/mp3-preview/1dfc1c9a2cf9f75c7026a2b88b782a2630e2a3cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:","2021-04-15T23:00:00Z"
"spotify:track:2tbdpZIOkV8kK0pZDBxXRQ","Immortally Insane","spotify:artist:14pVkFUHDL207LzLHtSA18","Pantera","spotify:album:2nhNrmeayyt111lqj6Om4L","Reinventing the Steel - 20th Anniversary Deluxe Edition","spotify:artist:14pVkFUHDL207LzLHtSA18","Pantera","2020-10-08","https://i.scdn.co/image/ab67616d0000b27362742293cb15ec85e9144585","1","1","311083","https://p.scdn.co/mp3-preview/1f1f61a4599d868e3eba3bdb1ad57fb988766648?cid=9950ac751e34487dbbe027c4fd7f8e99","true","41","spotify:user:","2021-04-15T23:00:00Z"
"spotify:track:0x4rHQ1Syor8YChasHuRJg","Dance with the Devil","spotify:artist:0eNuNAhL4dW2nvKbSe2mS8","Burning Witches","spotify:album:0prKZd93okYXYYIxrYTtzQ","Dance with the Devil","spotify:artist:0eNuNAhL4dW2nvKbSe2mS8","Burning Witches","2020-02-07","https://i.scdn.co/image/ab67616d0000b2733c4814710adae3dc1f9501a2","1","1","266466","","false","0","spotify:user:","2021-04-15T23:00:00Z"
"spotify:track:6SvjyJTHQiE0hNtW8onMuR","Death by Design","spotify:artist:3z3KnhKZObj216IgfHYGVf","Diamond Head","spotify:album:4uaOVHeCyMjxq2nSKHVLV0","Death by Design","spotify:artist:3z3KnhKZObj216IgfHYGVf","Diamond Head","2019-04-26","https://i.scdn.co/image/ab67616d0000b273a3243bf82d616d297d447a4f","1","1","283720","https://p.scdn.co/mp3-preview/2f1b0a7822945df194fdf360b53ea36ff69d5bb0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:","2021-04-15T23:00:00Z"
"spotify:track:2I1erAt8UHtkXhPRl1UM1r","Man the Machine","spotify:artist:2OgUPVlWYgGBGMefZgGvCO","Queensrÿche","spotify:album:52395IUFQXHluX4mvqg7Yb","Man the Machine","spotify:artist:2OgUPVlWYgGBGMefZgGvCO","Queensrÿche","2018-11-16","https://i.scdn.co/image/ab67616d0000b27386d5aaadb84243b8de045612","1","1","230613","https://p.scdn.co/mp3-preview/9c6f0901a9671938eb5222370cf901a61cf2c4a2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:","2021-04-15T23:00:00Z"
"spotify:track:5XacDuEUZ40blaEX7e3vJ7","Waiting For the Thunder - Remastered 2020","spotify:artist:4pQN0GB0fNEEOfQCaWotsY","Helloween","spotify:album:7BD7l7lYzQzoMBLCXDVYHe","Straight out of Hell (Remastered 2020)","spotify:artist:4pQN0GB0fNEEOfQCaWotsY","Helloween","2020-06-29","https://i.scdn.co/image/ab67616d0000b273ea9959c63fba652eb4be5543","1","6","235213","https://p.scdn.co/mp3-preview/dd9efb8faf3307488778994b6cd835d056add401?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:","2021-04-15T23:00:00Z"
