name;duration;genre_id;disc_number;track_number;;uri;explicit;popularity
Afraid to Shoot Strangers - 2015 Remaster;416560;92;1;3;;https://p.scdn.co/mp3-preview/25836128050fa81733aee5b825b78629fcb77dd2?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;54
Africa;295893;79;1;10;;https://p.scdn.co/mp3-preview/4551544dbf630ad584de356432e8afbd84b96914?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;83
Age of Reason;306226;149;1;6;;https://p.scdn.co/mp3-preview/8c44c39c2c3f34cdb9411a86a99c45f841ffb60d?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;37
Agent Orange;365320;92;1;1;;https://p.scdn.co/mp3-preview/6fc3f1fde1685ff9236ca6fd73b54e0e53624d98?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;49
Ain't It Fun;296520;93;1;6;;https://p.scdn.co/mp3-preview/9918253a683eafc0f9223491b2f868036e201627?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;75
Ain't No Sunshine;125093;137;1;2;;https://p.scdn.co/mp3-preview/2f56920743ab7da6d3d6331868dd23bbe72cd063?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;78
Ain't Nobody;280853;93;1;1;;https://p.scdn.co/mp3-preview/e5cd67a489b715e0387c7da863ae368ce63b8dfe?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;70
Ain't Talkin' 'Bout Love - 2015 Remaster;227800;94;1;4;;https://p.scdn.co/mp3-preview/bdac15637a4626fb77c608fd71a7e9b00bda178e?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;67
Alive;285493;17;1;11;;https://p.scdn.co/mp3-preview/7470b0c7314ec4355381411cbfa906174cb2eece?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;46
Alive;340907;79;1;3;;https://p.scdn.co/mp3-preview/628f678adab15d9b2b8a144e4bdffd5b2c493436?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;76
All Along the Watchtower;240800;149;1;15;;https://p.scdn.co/mp3-preview/5eec2933740ab3984340d5f004813f8275e1bb97?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;78
All for the Kingdom;250840;17;1;1;;https://p.scdn.co/mp3-preview/a0525f5e511dab412b6899831facd957904845ba?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;31
All I Want;196333;138;1;10;;https://p.scdn.co/mp3-preview/4791a5807bca793c0fca00fd34cfce8b37e74a35?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;60
All I Want for Christmas Is You;241106;121;1;2;;https://p.scdn.co/mp3-preview/bbafd15ff484394a0ca106d5fef0a81eeea4ef5b?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;69
All Mixed Up;179600;94;1;4;;https://p.scdn.co/mp3-preview/3da3b31d9ab71660ea7bd2750baae6547876304f?cid=9950ac751e34487dbbe027c4fd7f8e99;TRUE;63
All of Me;269560;17;1;6;;https://p.scdn.co/mp3-preview/488c53471e56ff9f629652691444438951e880bb?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;86
All Out Life;340132;40;1;1;;https://p.scdn.co/mp3-preview/947245ddb8660d082178ab8262a9c977a7b8964a?cid=9950ac751e34487dbbe027c4fd7f8e99;TRUE;66
All Pride No Pain;207398;93;1;1;;https://p.scdn.co/mp3-preview/a237aacffbe6a4fbf06688270ca65dff22de9806?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;43
All Shall Burn;261680;94;1;2;;https://p.scdn.co/mp3-preview/09f2f0bfd4696f44b2ccbcee19a3776cc6784dc6?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;40
All That I've Got;230426;79;1;4;;https://p.scdn.co/mp3-preview/2f1dd87ac28f144a16b87b32b99f3aa910711876?cid=9950ac751e34487dbbe027c4fd7f8e99;TRUE;59
All These Things I Hate (Revolve Around Me);225440;22;1;7;;https://p.scdn.co/mp3-preview/595357f57d1701f468dd524fa5d7b32fb0cc7201?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;56
Alma Mater;337306;94;1;8;;https://p.scdn.co/mp3-preview/c86da77a98741a8a88e70248eba030878af7c7bc?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;45
Alone Again;262200;149;1;9;;https://p.scdn.co/mp3-preview/f4378b66c2e116735e478e99cf9fa0306d51a0b0?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;60
Alone Again - Remastered;262000;135;1;1;;https://p.scdn.co/mp3-preview/d352707e84eaad7cd729d47081472bda2dfd2ed5?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;39
Alone with You - 2014 Remaster;238960;40;1;7;;https://p.scdn.co/mp3-preview/fc94803cac416925bdc175a96d884abe1232d88c?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;52
Alright;180880;79;1;4;;https://p.scdn.co/mp3-preview/b8476ad1aa953668867aa8fadbfb2a9800ad017e?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;73
Am I Evil?;505146;1;1;1;;https://p.scdn.co/mp3-preview/982889898b7682ba7660f8d7fd5e758a122dc35c?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;44
Amaranth;231444;121;1;3;;https://p.scdn.co/mp3-preview/e66dd542e0f969140665dfacfce22506d1f1f328?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;59
Amazing;265826;17;1;2;;https://p.scdn.co/mp3-preview/d2e885fae7a179b077ee6aa9f999c0d7a94b2ba0?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;57
American Idiot;174320;1;1;1;;https://p.scdn.co/mp3-preview/7c554adb94dfa1927a54cffed3fc4a2dfafeb10f?cid=9950ac751e34487dbbe027c4fd7f8e99;TRUE;64
American Idiot;176346;121;1;1;;https://p.scdn.co/mp3-preview/d5d48190dacabe9e45e2e1fe7616c4e411b28b53?cid=9950ac751e34487dbbe027c4fd7f8e99;TRUE;79
And She Was - 2005 Remaster;219413;92;1;1;;https://p.scdn.co/mp3-preview/b1ad76be8cee22f32301a7564d92c59b9d2088a4?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;57
Andromeda;244093;22;1;1;;https://p.scdn.co/mp3-preview/dd9b51152cf0027cf767612af3cab9b5fb41d7af?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;44
Angel;264200;121;1;7;;https://p.scdn.co/mp3-preview/4231bedb65a8cd0826a28ca3c058bb42ec3ff379?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;57
Angel Witch;203933;137;1;1;;https://p.scdn.co/mp3-preview/272ad121b69f991a0fdce5a42b9f4ac370f2c33b?cid=9950ac751e34487dbbe027c4fd7f8e99;FALSE;49
